id,x,y,demand,ready,due,service,priority,active
O001,36.0,31.0,5,33.0,86.0,5.0,2,True
O002,47.0,44.0,1,42.0,100.0,6.0,3,True
O003,10.0,13.0,2,51.0,114.0,7.0,1,True
O004,21.0,26.0,3,60.0,128.0,4.0,2,True
O005,32.0,39.0,4,69.0,142.0,5.0,3,True
O006,43.0,8.0,5,78.0,156.0,6.0,1,True
O007,6.0,21.0,1,87.0,170.0,7.0,2,True
O008,17.0,34.0,2,16.0,104.0,4.0,3,True
O009,28.0,3.0,3,25.0,118.0,5.0,1,True
O010,39.0,16.0,4,34.0,132.0,6.0,2,True
O011,50.0,29.0,5,43.0,91.0,7.0,3,True
O012,13.0,42.0,1,52.0,105.0,4.0,1,True
O013,24.0,11.0,2,61.0,119.0,5.0,2,True
O014,35.0,24.0,3,70.0,133.0,6.0,3,True
O015,46.0,37.0,4,79.0,147.0,7.0,1,True
O016,9.0,6.0,5,88.0,161.0,4.0,2,True
O017,20.0,19.0,1,17.0,95.0,5.0,3,True
O018,31.0,32.0,2,26.0,109.0,6.0,1,True
OX3A,44.0,35.0,3,43.0,60.0,5.0,5,False
OX3B,34.0,15.0,4,33.0,70.0,5.0,5,False
A001,34.0,43.0,5,22.0,94.0,5.0,2,False
A002,47.0,16.0,1,29.0,105.0,6.0,3,False
A003,12.0,33.0,2,36.0,116.0,7.0,1,False
A004,25.0,6.0,3,43.0,127.0,4.0,2,False
A005,38.0,23.0,4,50.0,138.0,5.0,3,False
A006,51.0,40.0,5,57.0,149.0,6.0,1,False
A007,16.0,13.0,1,64.0,160.0,7.0,2,False
A008,29.0,30.0,2,71.0,171.0,4.0,3,False
A009,42.0,47.0,3,78.0,182.0,5.0,1,False
A010,7.0,20.0,4,85.0,83.0,6.0,2,False
A011,20.0,37.0,5,92.0,94.0,7.0,3,False
A012,33.0,10.0,1,99.0,105.0,4.0,1,False
A013,46.0,27.0,2,16.0,116.0,5.0,2,False
A014,11.0,44.0,3,23.0,127.0,6.0,3,False
A015,24.0,17.0,4,30.0,138.0,7.0,1,False
A016,37.0,34.0,5,37.0,149.0,4.0,2,False
A017,50.0,7.0,1,44.0,160.0,5.0,3,False
A018,15.0,24.0,2,51.0,171.0,6.0,1,False
A019,28.0,41.0,3,58.0,182.0,7.0,2,False
A020,41.0,14.0,4,65.0,83.0,4.0,3,False
A021,6.0,31.0,5,72.0,94.0,5.0,1,False
A022,19.0,48.0,1,79.0,105.0,6.0,2,False
A023,32.0,21.0,2,86.0,116.0,7.0,3,False
A024,45.0,38.0,3,93.0,127.0,4.0,1,False
A025,10.0,11.0,4,100.0,138.0,5.0,2,False
A026,23.0,28.0,5,17.0,149.0,6.0,3,False
A027,36.0,45.0,1,24.0,160.0,7.0,1,False
A028,49.0,18.0,2,31.0,171.0,4.0,2,False
A029,14.0,35.0,3,38.0,182.0,5.0,3,False
A030,27.0,8.0,4,45.0,83.0,6.0,1,False
B001,34.0,43.0,5,22.0,94.0,5.0,2,False
B002,47.0,16.0,1,29.0,105.0,6.0,3,False
B003,12.0,33.0,2,36.0,116.0,7.0,1,False
B004,25.0,6.0,3,43.0,127.0,4.0,2,False
B005,38.0,23.0,4,50.0,138.0,5.0,3,False
B006,51.0,40.0,5,57.0,149.0,6.0,1,False
B007,16.0,13.0,1,64.0,160.0,7.0,2,False
B008,29.0,30.0,2,71.0,171.0,4.0,3,False
B009,42.0,47.0,3,78.0,182.0,5.0,1,False
B010,7.0,20.0,4,85.0,83.0,6.0,2,False
B011,20.0,37.0,5,92.0,94.0,7.0,3,False
B012,33.0,10.0,1,99.0,105.0,4.0,1,False
B013,46.0,27.0,2,16.0,116.0,5.0,2,False
B014,11.0,44.0,3,23.0,127.0,6.0,3,False
B015,24.0,17.0,4,30.0,138.0,7.0,1,False
B016,37.0,34.0,5,37.0,149.0,4.0,2,False
B017,50.0,7.0,1,44.0,160.0,5.0,3,False
B018,15.0,24.0,2,51.0,171.0,6.0,1,False
B019,28.0,41.0,3,58.0,182.0,7.0,2,False
B020,41.0,14.0,4,65.0,83.0,4.0,3,False
B021,6.0,31.0,5,72.0,94.0,5.0,1,False
B022,19.0,48.0,1,79.0,105.0,6.0,2,False
B023,32.0,21.0,2,86.0,116.0,7.0,3,False
B024,45.0,38.0,3,93.0,127.0,4.0,1,False
B025,10.0,11.0,4,100.0,138.0,5.0,2,False
B026,23.0,28.0,5,17.0,149.0,6.0,3,False
B027,36.0,45.0,1,24.0,160.0,7.0,1,False
B028,49.0,18.0,2,31.0,171.0,4.0,2,False
B029,14.0,35.0,3,38.0,182.0,5.0,3,False
B030,27.0,8.0,4,45.0,83.0,6.0,1,False
