id,x,y,demand,ready,due,service,priority,active
O001,15.0,16.0,2,24.0,74.0,5.0,2,True
O002,26.0,29.0,3,33.0,88.0,6.0,3,True
O003,37.0,42.0,4,42.0,102.0,7.0,1,True
O004,48.0,11.0,5,51.0,116.0,4.0,2,True
O005,11.0,24.0,1,60.0,130.0,5.0,3,True
O006,22.0,37.0,2,69.0,144.0,6.0,1,True
O007,33.0,6.0,3,78.0,158.0,7.0,2,True
O008,44.0,19.0,4,87.0,172.0,4.0,3,True
O009,7.0,32.0,5,16.0,106.0,5.0,1,True
O010,18.0,45.0,1,25.0,120.0,6.0,2,True
O011,29.0,14.0,2,34.0,79.0,7.0,3,True
O012,40.0,27.0,3,43.0,93.0,4.0,1,True
O013,51.0,40.0,4,52.0,107.0,5.0,2,True
O014,14.0,9.0,5,61.0,121.0,6.0,3,True
O015,25.0,22.0,1,70.0,135.0,7.0,1,True
O016,36.0,35.0,2,79.0,149.0,4.0,2,True
O017,47.0,4.0,3,88.0,163.0,5.0,3,True
O018,10.0,17.0,4,17.0,97.0,6.0,1,True
OX0A,38.0,20.0,3,28.0,48.0,5.0,5,False
OX0B,28.0,42.0,4,18.0,58.0,5.0,5,False
A001,19.0,22.0,2,19.0,91.0,5.0,2,False
A002,32.0,39.0,3,26.0,102.0,6.0,3,False
A003,45.0,12.0,4,33.0,113.0,7.0,1,False
A004,10.0,29.0,5,40.0,124.0,4.0,2,False
A005,23.0,46.0,1,47.0,135.0,5.0,3,False
A006,36.0,19.0,2,54.0,146.0,6.0,1,False
A007,49.0,36.0,3,61.0,157.0,7.0,2,False
A008,14.0,9.0,4,68.0,168.0,4.0,3,False
A009,27.0,26.0,5,75.0,179.0,5.0,1,False
A010,40.0,43.0,1,82.0,80.0,6.0,2,False
A011,53.0,16.0,2,89.0,91.0,7.0,3,False
A012,18.0,33.0,3,96.0,102.0,4.0,1,False
A013,31.0,6.0,4,13.0,113.0,5.0,2,False
A014,44.0,23.0,5,20.0,124.0,6.0,3,False
A015,9.0,40.0,1,27.0,135.0,7.0,1,False
A016,22.0,13.0,2,34.0,146.0,4.0,2,False
A017,35.0,30.0,3,41.0,157.0,5.0,3,False
A018,48.0,47.0,4,48.0,168.0,6.0,1,False
A019,13.0,20.0,5,55.0,179.0,7.0,2,False
A020,26.0,37.0,1,62.0,80.0,4.0,3,False
A021,39.0,10.0,2,69.0,91.0,5.0,1,False
A022,52.0,27.0,3,76.0,102.0,6.0,2,False
A023,17.0,44.0,4,83.0,113.0,7.0,3,False
A024,30.0,17.0,5,90.0,124.0,4.0,1,False
A025,43.0,34.0,1,97.0,135.0,5.0,2,False
A026,8.0,7.0,2,14.0,146.0,6.0,3,False
A027,21.0,24.0,3,21.0,157.0,7.0,1,False
A028,34.0,41.0,4,28.0,168.0,4.0,2,False
A029,47.0,14.0,5,35.0,179.0,5.0,3,False
A030,12.0,31.0,1,42.0,80.0,6.0,1,False
B001,19.0,22.0,2,19.0,91.0,5.0,2,False
B002,32.0,39.0,3,26.0,102.0,6.0,3,False
B003,45.0,12.0,4,33.0,113.0,7.0,1,False
B004,10.0,29.0,5,40.0,124.0,4.0,2,False
B005,23.0,46.0,1,47.0,135.0,5.0,3,False
B006,36.0,19.0,2,54.0,146.0,6.0,1,False
B007,49.0,36.0,3,61.0,157.0,7.0,2,False
B008,14.0,9.0,4,68.0,168.0,4.0,3,False
B009,27.0,26.0,5,75.0,179.0,5.0,1,False
B010,40.0,43.0,1,82.0,80.0,6.0,2,False
B011,53.0,16.0,2,89.0,91.0,7.0,3,False
B012,18.0,33.0,3,96.0,102.0,4.0,1,False
B013,31.0,6.0,4,13.0,113.0,5.0,2,False
B014,44.0,23.0,5,20.0,124.0,6.0,3,False
B015,9.0,40.0,1,27.0,135.0,7.0,1,False
B016,22.0,13.0,2,34.0,146.0,4.0,2,False
B017,35.0,30.0,3,41.0,157.0,5.0,3,False
B018,48.0,47.0,4,48.0,168.0,6.0,1,False
B019,13.0,20.0,5,55.0,179.0,7.0,2,False
B020,26.0,37.0,1,62.0,80.0,4.0,3,False
B021,39.0,10.0,2,69.0,91.0,5.0,1,False
B022,52.0,27.0,3,76.0,102.0,6.0,2,False
B023,17.0,44.0,4,83.0,113.0,7.0,3,False
B024,30.0,17.0,5,90.0,124.0,4.0,1,False
B025,43.0,34.0,1,97.0,135.0,5.0,2,False
B026,8.0,7.0,2,14.0,146.0,6.0,3,False
B027,21.0,24.0,3,21.0,157.0,7.0,1,False
B028,34.0,41.0,4,28.0,168.0,4.0,2,False
B029,47.0,14.0,5,35.0,179.0,5.0,3,False
B030,12.0,31.0,1,42.0,80.0,6.0,1,False
