id,x,y,demand,ready,due,service,priority,active
O001,29.0,26.0,4,30.0,82.0,5.0,1,True
O002,40.0,39.0,5,39.0,96.0,6.0,2,True
O003,51.0,8.0,1,48.0,110.0,7.0,3,True
O004,14.0,21.0,2,57.0,124.0,4.0,1,True
O005,25.0,34.0,3,66.0,138.0,5.0,2,True
O006,36.0,3.0,4,75.0,152.0,6.0,3,True
O007,47.0,16.0,5,84.0,166.0,7.0,1,True
O008,10.0,29.0,1,93.0,180.0,4.0,2,True
O009,21.0,42.0,2,22.0,114.0,5.0,3,True
O010,32.0,11.0,3,31.0,128.0,6.0,1,True
O011,43.0,24.0,4,40.0,87.0,7.0,2,True
O012,6.0,37.0,5,49.0,101.0,4.0,3,True
O013,17.0,6.0,1,58.0,115.0,5.0,1,True
O014,28.0,19.0,2,67.0,129.0,6.0,2,True
O015,39.0,32.0,3,76.0,143.0,7.0,3,True
O016,50.0,45.0,4,85.0,157.0,4.0,1,True
O017,13.0,14.0,5,94.0,171.0,5.0,2,True
O018,24.0,27.0,1,23.0,105.0,6.0,3,True
OX2A,27.0,16.0,3,38.0,56.0,5.0,5,False
OX2B,17.0,38.0,4,28.0,66.0,5.0,5,False
A001,29.0,36.0,4,21.0,93.0,5.0,1,False
A002,42.0,9.0,5,28.0,104.0,6.0,2,False
A003,7.0,26.0,1,35.0,115.0,7.0,3,False
A004,20.0,43.0,2,42.0,126.0,4.0,1,False
A005,33.0,16.0,3,49.0,137.0,5.0,2,False
A006,46.0,33.0,4,56.0,148.0,6.0,3,False
A007,11.0,6.0,5,63.0,159.0,7.0,1,False
A008,24.0,23.0,1,70.0,170.0,4.0,2,False
A009,37.0,40.0,2,77.0,181.0,5.0,3,False
A010,50.0,13.0,3,84.0,82.0,6.0,1,False
A011,15.0,30.0,4,91.0,93.0,7.0,2,False
A012,28.0,47.0,5,98.0,104.0,4.0,3,False
A013,41.0,20.0,1,15.0,115.0,5.0,1,False
A014,6.0,37.0,2,22.0,126.0,6.0,2,False
A015,19.0,10.0,3,29.0,137.0,7.0,3,False
A016,32.0,27.0,4,36.0,148.0,4.0,1,False
A017,45.0,44.0,5,43.0,159.0,5.0,2,False
A018,10.0,17.0,1,50.0,170.0,6.0,3,False
A019,23.0,34.0,2,57.0,181.0,7.0,1,False
A020,36.0,7.0,3,64.0,82.0,4.0,2,False
A021,49.0,24.0,4,71.0,93.0,5.0,3,False
A022,14.0,41.0,5,78.0,104.0,6.0,1,False
A023,27.0,14.0,1,85.0,115.0,7.0,2,False
A024,40.0,31.0,2,92.0,126.0,4.0,3,False
A025,53.0,48.0,3,99.0,137.0,5.0,1,False
A026,18.0,21.0,4,16.0,148.0,6.0,2,False
A027,31.0,38.0,5,23.0,159.0,7.0,3,False
A028,44.0,11.0,1,30.0,170.0,4.0,1,False
A029,9.0,28.0,2,37.0,181.0,5.0,2,False
A030,22.0,45.0,3,44.0,82.0,6.0,3,False
B001,29.0,36.0,4,21.0,93.0,5.0,1,False
B002,42.0,9.0,5,28.0,104.0,6.0,2,False
B003,7.0,26.0,1,35.0,115.0,7.0,3,False
B004,20.0,43.0,2,42.0,126.0,4.0,1,False
B005,33.0,16.0,3,49.0,137.0,5.0,2,False
B006,46.0,33.0,4,56.0,148.0,6.0,3,False
B007,11.0,6.0,5,63.0,159.0,7.0,1,False
B008,24.0,23.0,1,70.0,170.0,4.0,2,False
B009,37.0,40.0,2,77.0,181.0,5.0,3,False
B010,50.0,13.0,3,84.0,82.0,6.0,1,False
B011,15.0,30.0,4,91.0,93.0,7.0,2,False
B012,28.0,47.0,5,98.0,104.0,4.0,3,False
B013,41.0,20.0,1,15.0,115.0,5.0,1,False
B014,6.0,37.0,2,22.0,126.0,6.0,2,False
B015,19.0,10.0,3,29.0,137.0,7.0,3,False
B016,32.0,27.0,4,36.0,148.0,4.0,1,False
B017,45.0,44.0,5,43.0,159.0,5.0,2,False
B018,10.0,17.0,1,50.0,170.0,6.0,3,False
B019,23.0,34.0,2,57.0,181.0,7.0,1,False
B020,36.0,7.0,3,64.0,82.0,4.0,2,False
B021,49.0,24.0,4,71.0,93.0,5.0,3,False
B022,14.0,41.0,5,78.0,104.0,6.0,1,False
B023,27.0,14.0,1,85.0,115.0,7.0,2,False
B024,40.0,31.0,2,92.0,126.0,4.0,3,False
B025,53.0,48.0,3,99.0,137.0,5.0,1,False
B026,18.0,21.0,4,16.0,148.0,6.0,2,False
B027,31.0,38.0,5,23.0,159.0,7.0,3,False
B028,44.0,11.0,1,30.0,170.0,4.0,1,False
B029,9.0,28.0,2,37.0,181.0,5.0,2,False
B030,22.0,45.0,3,44.0,82.0,6.0,3,False
