id,burst,cpu,mem,deadline,latency_sensitivity,priority,gpu_required,active
J001,,8,13,84,1.0,3,False,True
J002,,4,20,95,1.15,4,False,True
J003,,9,9,106,1.3,1,False,True
J004,,5,16,117,0.7,2,False,True
J005,,10,5,128,0.85,3,False,True
J006,,6,12,139,1.0,4,False,True
J007,,2,19,150,1.15,1,False,True
J008,,7,8,161,1.3,2,False,True
J009,,3,15,172,0.7,3,False,True
J010,,8,4,183,0.85,4,False,True
J011,,4,11,74,1.0,1,True,True
J012,,9,18,85,1.15,2,False,True
J013,,5,7,96,1.3,3,False,True
J014,,10,14,107,0.7,4,False,True
J015,,6,21,118,0.85,1,False,True
J016,,2,10,129,1.0,2,False,True
J017,,7,17,140,1.15,3,False,True
J018,,3,6,151,1.3,4,False,True
J019,,8,13,162,0.7,1,False,True
J020,,4,20,173,0.85,2,False,True
J021,,9,9,184,1.0,3,False,True
J022,,5,16,75,1.15,4,True,True
J023,,10,5,86,1.3,1,False,True
J024,,6,12,97,0.7,2,False,True
B21_01,failover-1,4,10,70,1.7,4,False,False
B21_02,failover-1,5,13,74,1.7,4,False,False
B21_03,failover-1,2,6,78,1.7,4,False,False
B21_04,failover-1,3,9,82,1.7,4,False,False
B21_05,failover-1,4,12,86,1.7,4,False,False
B21_06,failover-1,5,5,90,1.7,4,False,False
L001,late-window-1,9,19,92,1.0,3,False,False
L002,late-window-1,14,28,103,1.15,4,False,False
L003,late-window-1,7,9,114,1.3,1,False,False
L004,late-window-1,12,18,125,0.7,2,False,False
L005,late-window-1,5,27,136,0.85,3,False,False
L006,late-window-1,10,8,147,1.0,4,False,False
L007,late-window-1,3,17,158,1.15,1,False,False
L008,late-window-1,8,26,169,1.3,2,False,False
L009,late-window-1,13,7,180,0.7,3,False,False
L010,late-window-1,6,16,191,0.85,4,False,False
L011,late-window-1,11,25,202,1.0,1,False,False
L012,late-window-1,4,34,213,1.15,2,False,False
L013,late-window-1,9,15,224,1.3,3,False,False
L014,late-window-1,14,24,235,0.7,4,False,False
L015,late-window-1,7,33,86,0.85,1,False,False
L016,late-window-1,12,14,97,1.0,2,False,False
L017,late-window-1,5,23,108,1.15,3,False,False
L018,late-window-1,10,32,119,1.3,4,False,False
L019,late-window-1,3,13,130,0.7,1,False,False
L020,late-window-1,8,22,141,0.85,2,False,False
L021,late-window-1,13,31,152,1.0,3,False,False
L022,late-window-1,6,12,163,1.15,4,False,False
L023,late-window-1,11,21,174,1.3,1,False,False
L024,late-window-1,4,30,185,0.7,2,False,False
L025,late-window-1,9,11,196,0.85,3,False,False
L026,late-window-1,14,20,207,1.0,4,False,False
L027,late-window-1,7,29,218,1.15,1,False,False
L028,late-window-1,12,10,229,1.3,2,False,False
L029,late-window-1,5,19,80,0.7,3,False,False
L030,late-window-1,10,28,91,0.85,4,False,False
L031,late-window-1,3,9,102,1.0,1,False,False
L032,late-window-1,8,18,113,1.15,2,False,False
L033,late-window-1,13,27,124,1.3,3,False,False
L034,late-window-1,6,8,135,0.7,4,False,False
L035,late-window-1,11,17,146,0.85,1,False,False
L036,late-window-1,4,26,157,1.0,2,False,False
L037,late-window-1,9,7,168,1.15,3,False,False
L038,late-window-1,14,16,179,1.3,4,False,False
L039,late-window-1,7,25,190,0.7,1,False,False
L040,late-window-1,12,34,201,0.85,2,False,False
