id,x,y,demand,ready,due,service,priority,active
O001,50.0,41.0,2,39.0,94.0,5.0,1,True
O002,13.0,10.0,3,48.0,108.0,6.0,2,True
O003,24.0,23.0,4,57.0,122.0,7.0,3,True
O004,35.0,36.0,5,66.0,136.0,4.0,1,True
O005,46.0,5.0,1,75.0,150.0,5.0,2,True
O006,9.0,18.0,2,84.0,164.0,6.0,3,True
O007,20.0,31.0,3,93.0,178.0,7.0,1,True
O008,31.0,44.0,4,22.0,112.0,4.0,2,True
O009,42.0,13.0,5,31.0,126.0,5.0,3,True
O010,5.0,26.0,1,40.0,85.0,6.0,1,True
O011,16.0,39.0,2,49.0,99.0,7.0,2,True
O012,27.0,8.0,3,58.0,113.0,4.0,3,True
O013,38.0,21.0,4,67.0,127.0,5.0,1,True
O014,49.0,34.0,5,76.0,141.0,6.0,2,True
O015,12.0,3.0,1,85.0,155.0,7.0,3,True
O016,23.0,16.0,2,94.0,169.0,4.0,1,True
O017,34.0,29.0,3,23.0,103.0,5.0,2,True
O018,45.0,42.0,4,32.0,117.0,6.0,3,True
OX5A,33.0,31.0,3,23.0,68.0,5.0,5,False
OX5B,23.0,11.0,4,43.0,78.0,5.0,5,False
A001,44.0,13.0,2,24.0,96.0,5.0,1,False
A002,9.0,30.0,3,31.0,107.0,6.0,2,False
A003,22.0,47.0,4,38.0,118.0,7.0,3,False
A004,35.0,20.0,5,45.0,129.0,4.0,1,False
A005,48.0,37.0,1,52.0,140.0,5.0,2,False
A006,13.0,10.0,2,59.0,151.0,6.0,3,False
A007,26.0,27.0,3,66.0,162.0,7.0,1,False
A008,39.0,44.0,4,73.0,173.0,4.0,2,False
A009,52.0,17.0,5,80.0,184.0,5.0,3,False
A010,17.0,34.0,1,87.0,85.0,6.0,1,False
A011,30.0,7.0,2,94.0,96.0,7.0,2,False
A012,43.0,24.0,3,101.0,107.0,4.0,3,False
A013,8.0,41.0,4,18.0,118.0,5.0,1,False
A014,21.0,14.0,5,25.0,129.0,6.0,2,False
A015,34.0,31.0,1,32.0,140.0,7.0,3,False
A016,47.0,48.0,2,39.0,151.0,4.0,1,False
A017,12.0,21.0,3,46.0,162.0,5.0,2,False
A018,25.0,38.0,4,53.0,173.0,6.0,3,False
A019,38.0,11.0,5,60.0,184.0,7.0,1,False
A020,51.0,28.0,1,67.0,85.0,4.0,2,False
A021,16.0,45.0,2,74.0,96.0,5.0,3,False
A022,29.0,18.0,3,81.0,107.0,6.0,1,False
A023,42.0,35.0,4,88.0,118.0,7.0,2,False
A024,7.0,8.0,5,95.0,129.0,4.0,3,False
A025,20.0,25.0,1,12.0,140.0,5.0,1,False
A026,33.0,42.0,2,19.0,151.0,6.0,2,False
A027,46.0,15.0,3,26.0,162.0,7.0,3,False
A028,11.0,32.0,4,33.0,173.0,4.0,1,False
A029,24.0,5.0,5,40.0,184.0,5.0,2,False
A030,37.0,22.0,1,47.0,85.0,6.0,3,False
B001,44.0,13.0,2,24.0,96.0,5.0,1,False
B002,9.0,30.0,3,31.0,107.0,6.0,2,False
B003,22.0,47.0,4,38.0,118.0,7.0,3,False
B004,35.0,20.0,5,45.0,129.0,4.0,1,False
B005,48.0,37.0,1,52.0,140.0,5.0,2,False
B006,13.0,10.0,2,59.0,151.0,6.0,3,False
B007,26.0,27.0,3,66.0,162.0,7.0,1,False
B008,39.0,44.0,4,73.0,173.0,4.0,2,False
B009,52.0,17.0,5,80.0,184.0,5.0,3,False
B010,17.0,34.0,1,87.0,85.0,6.0,1,False
B011,30.0,7.0,2,94.0,96.0,7.0,2,False
B012,43.0,24.0,3,101.0,107.0,4.0,3,False
B013,8.0,41.0,4,18.0,118.0,5.0,1,False
B014,21.0,14.0,5,25.0,129.0,6.0,2,False
B015,34.0,31.0,1,32.0,140.0,7.0,3,False
B016,47.0,48.0,2,39.0,151.0,4.0,1,False
B017,12.0,21.0,3,46.0,162.0,5.0,2,False
B018,25.0,38.0,4,53.0,173.0,6.0,3,False
B019,38.0,11.0,5,60.0,184.0,7.0,1,False
B020,51.0,28.0,1,67.0,85.0,4.0,2,False
B021,16.0,45.0,2,74.0,96.0,5.0,3,False
B022,29.0,18.0,3,81.0,107.0,6.0,1,False
B023,42.0,35.0,4,88.0,118.0,7.0,2,False
B024,7.0,8.0,5,95.0,129.0,4.0,3,False
B025,20.0,25.0,1,12.0,140.0,5.0,1,False
B026,33.0,42.0,2,19.0,151.0,6.0,2,False
B027,46.0,15.0,3,26.0,162.0,7.0,3,False
B028,11.0,32.0,4,33.0,173.0,4.0,1,False
B029,24.0,5.0,5,40.0,184.0,5.0,2,False
B030,37.0,22.0,1,47.0,85.0,6.0,3,False
