id,x,y,demand,ready,due,service,priority,active
O001,43.0,36.0,1,36.0,90.0,5.0,3,True
O002,6.0,5.0,2,45.0,104.0,6.0,1,True
O003,17.0,18.0,3,54.0,118.0,7.0,2,True
O004,28.0,31.0,4,63.0,132.0,4.0,3,True
O005,39.0,44.0,5,72.0,146.0,5.0,1,True
O006,50.0,13.0,1,81.0,160.0,6.0,2,True
O007,13.0,26.0,2,90.0,174.0,7.0,3,True
O008,24.0,39.0,3,19.0,108.0,4.0,1,True
O009,35.0,8.0,4,28.0,122.0,5.0,2,True
O010,46.0,21.0,5,37.0,136.0,6.0,3,True
O011,9.0,34.0,1,46.0,95.0,7.0,1,True
O012,20.0,3.0,2,55.0,109.0,4.0,2,True
O013,31.0,16.0,3,64.0,123.0,5.0,3,True
O014,42.0,29.0,4,73.0,137.0,6.0,1,True
O015,5.0,42.0,5,82.0,151.0,7.0,2,True
O016,16.0,11.0,1,91.0,165.0,4.0,3,True
O017,27.0,24.0,2,20.0,99.0,5.0,1,True
O018,38.0,37.0,3,29.0,113.0,6.0,2,True
OX4A,16.0,12.0,3,18.0,64.0,5.0,5,False
OX4B,51.0,34.0,4,38.0,74.0,5.0,5,False
A001,39.0,6.0,1,23.0,95.0,5.0,3,False
A002,52.0,23.0,2,30.0,106.0,6.0,1,False
A003,17.0,40.0,3,37.0,117.0,7.0,2,False
A004,30.0,13.0,4,44.0,128.0,4.0,3,False
A005,43.0,30.0,5,51.0,139.0,5.0,1,False
A006,8.0,47.0,1,58.0,150.0,6.0,2,False
A007,21.0,20.0,2,65.0,161.0,7.0,3,False
A008,34.0,37.0,3,72.0,172.0,4.0,1,False
A009,47.0,10.0,4,79.0,183.0,5.0,2,False
A010,12.0,27.0,5,86.0,84.0,6.0,3,False
A011,25.0,44.0,1,93.0,95.0,7.0,1,False
A012,38.0,17.0,2,100.0,106.0,4.0,2,False
A013,51.0,34.0,3,17.0,117.0,5.0,3,False
A014,16.0,7.0,4,24.0,128.0,6.0,1,False
A015,29.0,24.0,5,31.0,139.0,7.0,2,False
A016,42.0,41.0,1,38.0,150.0,4.0,3,False
A017,7.0,14.0,2,45.0,161.0,5.0,1,False
A018,20.0,31.0,3,52.0,172.0,6.0,2,False
A019,33.0,48.0,4,59.0,183.0,7.0,3,False
A020,46.0,21.0,5,66.0,84.0,4.0,1,False
A021,11.0,38.0,1,73.0,95.0,5.0,2,False
A022,24.0,11.0,2,80.0,106.0,6.0,3,False
A023,37.0,28.0,3,87.0,117.0,7.0,1,False
A024,50.0,45.0,4,94.0,128.0,4.0,2,False
A025,15.0,18.0,5,101.0,139.0,5.0,3,False
A026,28.0,35.0,1,18.0,150.0,6.0,1,False
A027,41.0,8.0,2,25.0,161.0,7.0,2,False
A028,6.0,25.0,3,32.0,172.0,4.0,3,False
A029,19.0,42.0,4,39.0,183.0,5.0,1,False
A030,32.0,15.0,5,46.0,84.0,6.0,2,False
B001,39.0,6.0,1,23.0,95.0,5.0,3,False
B002,52.0,23.0,2,30.0,106.0,6.0,1,False
B003,17.0,40.0,3,37.0,117.0,7.0,2,False
B004,30.0,13.0,4,44.0,128.0,4.0,3,False
B005,43.0,30.0,5,51.0,139.0,5.0,1,False
B006,8.0,47.0,1,58.0,150.0,6.0,2,False
B007,21.0,20.0,2,65.0,161.0,7.0,3,False
B008,34.0,37.0,3,72.0,172.0,4.0,1,False
B009,47.0,10.0,4,79.0,183.0,5.0,2,False
B010,12.0,27.0,5,86.0,84.0,6.0,3,False
B011,25.0,44.0,1,93.0,95.0,7.0,1,False
B012,38.0,17.0,2,100.0,106.0,4.0,2,False
B013,51.0,34.0,3,17.0,117.0,5.0,3,False
B014,16.0,7.0,4,24.0,128.0,6.0,1,False
B015,29.0,24.0,5,31.0,139.0,7.0,2,False
B016,42.0,41.0,1,38.0,150.0,4.0,3,False
B017,7.0,14.0,2,45.0,161.0,5.0,1,False
B018,20.0,31.0,3,52.0,172.0,6.0,2,False
B019,33.0,48.0,4,59.0,183.0,7.0,3,False
B020,46.0,21.0,5,66.0,84.0,4.0,1,False
B021,11.0,38.0,1,73.0,95.0,5.0,2,False
B022,24.0,11.0,2,80.0,106.0,6.0,3,False
B023,37.0,28.0,3,87.0,117.0,7.0,1,False
B024,50.0,45.0,4,94.0,128.0,4.0,2,False
B025,15.0,18.0,5,101.0,139.0,5.0,3,False
B026,28.0,35.0,1,18.0,150.0,6.0,1,False
B027,41.0,8.0,2,25.0,161.0,7.0,2,False
B028,6.0,25.0,3,32.0,172.0,4.0,3,False
B029,19.0,42.0,4,39.0,183.0,5.0,1,False
B030,32.0,15.0,5,46.0,84.0,6.0,2,False
