id,burst,cpu,mem,deadline,latency_sensitivity,priority,gpu_required,active
J001,,2,19,93,0.7,2,False,True
J002,,7,8,104,0.85,3,False,True
J003,,3,15,115,1.0,4,False,True
J004,,8,4,126,1.15,1,False,True
J005,,4,11,137,1.3,2,False,True
J006,,9,18,148,0.7,3,False,True
J007,,5,7,159,0.85,4,False,True
J008,,10,14,170,1.0,1,False,True
J009,,6,21,181,1.15,2,False,True
J010,,2,10,72,1.3,3,False,True
J011,,7,17,83,0.7,4,True,True
J012,,3,6,94,0.85,1,False,True
J013,,8,13,105,1.0,2,False,True
J014,,4,20,116,1.15,3,False,True
J015,,9,9,127,1.3,4,False,True
J016,,5,16,138,0.7,1,False,True
J017,,10,5,149,0.85,2,False,True
J018,,6,12,160,1.0,3,False,True
J019,,2,19,171,1.15,4,False,True
J020,,7,8,182,1.3,1,False,True
J021,,3,15,73,0.7,2,False,True
J022,,8,4,84,0.85,3,True,True
J023,,4,11,95,1.0,4,False,True
J024,,9,18,106,1.15,1,False,True
B24_01,failover-4,3,6,73,1.7,4,False,False
B24_02,failover-4,4,9,77,1.7,4,False,False
B24_03,failover-4,5,12,81,1.7,4,False,False
B24_04,failover-4,2,5,85,1.7,4,False,False
B24_05,failover-4,3,8,89,1.7,4,False,False
B24_06,failover-4,4,11,93,1.7,4,False,False
L001,late-window-4,12,28,95,0.7,2,False,False
L002,late-window-4,5,9,106,0.85,3,False,False
L003,late-window-4,10,18,117,1.0,4,False,False
L004,late-window-4,3,27,128,1.15,1,False,False
L005,late-window-4,8,8,139,1.3,2,False,False
L006,late-window-4,13,17,150,0.7,3,False,False
L007,late-window-4,6,26,161,0.85,4,False,False
L008,late-window-4,11,7,172,1.0,1,False,False
L009,late-window-4,4,16,183,1.15,2,False,False
L010,late-window-4,9,25,194,1.3,3,False,False
L011,late-window-4,14,34,205,0.7,4,False,False
L012,late-window-4,7,15,216,0.85,1,False,False
L013,late-window-4,12,24,227,1.0,2,False,False
L014,late-window-4,5,33,238,1.15,3,False,False
L015,late-window-4,10,14,89,1.3,4,False,False
L016,late-window-4,3,23,100,0.7,1,False,False
L017,late-window-4,8,32,111,0.85,2,False,False
L018,late-window-4,13,13,122,1.0,3,False,False
L019,late-window-4,6,22,133,1.15,4,False,False
L020,late-window-4,11,31,144,1.3,1,False,False
L021,late-window-4,4,12,155,0.7,2,False,False
L022,late-window-4,9,21,166,0.85,3,False,False
L023,late-window-4,14,30,177,1.0,4,False,False
L024,late-window-4,7,11,188,1.15,1,False,False
L025,late-window-4,12,20,199,1.3,2,False,False
L026,late-window-4,5,29,210,0.7,3,False,False
L027,late-window-4,10,10,221,0.85,4,False,False
L028,late-window-4,3,19,232,1.0,1,False,False
L029,late-window-4,8,28,83,1.15,2,False,False
L030,late-window-4,13,9,94,1.3,3,False,False
L031,late-window-4,6,18,105,0.7,4,False,False
L032,late-window-4,11,27,116,0.85,1,False,False
L033,late-window-4,4,8,127,1.0,2,False,False
L034,late-window-4,9,17,138,1.15,3,False,False
L035,late-window-4,14,26,149,1.3,4,False,False
L036,late-window-4,7,7,160,0.7,1,False,False
L037,late-window-4,12,16,171,0.85,2,False,False
L038,late-window-4,5,25,182,1.0,3,False,False
L039,late-window-4,10,34,193,1.15,4,False,False
L040,late-window-4,3,15,204,1.3,1,False,False
