id,burst,cpu,mem,deadline,latency_sensitivity,priority,gpu_required,active
J001,,7,11,81,0.85,2,False,True
J002,,3,18,92,1.0,3,False,True
J003,,8,7,103,1.15,4,False,True
J004,,4,14,114,1.3,1,False,True
J005,,9,21,125,0.7,2,False,True
J006,,5,10,136,0.85,3,False,True
J007,,10,17,147,1.0,4,False,True
J008,,6,6,158,1.15,1,False,True
J009,,2,13,169,1.3,2,False,True
J010,,7,20,180,0.7,3,False,True
J011,,3,9,71,0.85,4,True,True
J012,,8,16,82,1.0,1,False,True
J013,,4,5,93,1.15,2,False,True
J014,,9,12,104,1.3,3,False,True
J015,,5,19,115,0.7,4,False,True
J016,,10,8,126,0.85,1,False,True
J017,,6,15,137,1.0,2,False,True
J018,,2,4,148,1.15,3,False,True
J019,,7,11,159,1.3,4,False,True
J020,,3,18,170,0.7,1,False,True
J021,,8,7,181,0.85,2,False,True
J022,,4,14,72,1.0,3,True,True
J023,,9,21,83,1.15,4,False,True
J024,,5,10,94,1.3,1,False,True
B20_01,failover-0,3,8,69,1.7,4,False,False
B20_02,failover-0,4,11,73,1.7,4,False,False
B20_03,failover-0,5,14,77,1.7,4,False,False
B20_04,failover-0,2,7,81,1.7,4,False,False
B20_05,failover-0,3,10,85,1.7,4,False,False
B20_06,failover-0,4,13,89,1.7,4,False,False
L001,late-window-0,8,16,91,0.85,2,False,False
L002,late-window-0,13,25,102,1.0,3,False,False
L003,late-window-0,6,34,113,1.15,4,False,False
L004,late-window-0,11,15,124,1.3,1,False,False
L005,late-window-0,4,24,135,0.7,2,False,False
L006,late-window-0,9,33,146,0.85,3,False,False
L007,late-window-0,14,14,157,1.0,4,False,False
L008,late-window-0,7,23,168,1.15,1,False,False
L009,late-window-0,12,32,179,1.3,2,False,False
L010,late-window-0,5,13,190,0.7,3,False,False
L011,late-window-0,10,22,201,0.85,4,False,False
L012,late-window-0,3,31,212,1.0,1,False,False
L013,late-window-0,8,12,223,1.15,2,False,False
L014,late-window-0,13,21,234,1.3,3,False,False
L015,late-window-0,6,30,85,0.7,4,False,False
L016,late-window-0,11,11,96,0.85,1,False,False
L017,late-window-0,4,20,107,1.0,2,False,False
L018,late-window-0,9,29,118,1.15,3,False,False
L019,late-window-0,14,10,129,1.3,4,False,False
L020,late-window-0,7,19,140,0.7,1,False,False
L021,late-window-0,12,28,151,0.85,2,False,False
L022,late-window-0,5,9,162,1.0,3,False,False
L023,late-window-0,10,18,173,1.15,4,False,False
L024,late-window-0,3,27,184,1.3,1,False,False
L025,late-window-0,8,8,195,0.7,2,False,False
L026,late-window-0,13,17,206,0.85,3,False,False
L027,late-window-0,6,26,217,1.0,4,False,False
L028,late-window-0,11,7,228,1.15,1,False,False
L029,late-window-0,4,16,239,1.3,2,False,False
L030,late-window-0,9,25,90,0.7,3,False,False
L031,late-window-0,14,34,101,0.85,4,False,False
L032,late-window-0,7,15,112,1.0,1,False,False
L033,late-window-0,12,24,123,1.15,2,False,False
L034,late-window-0,5,33,134,1.3,3,False,False
L035,late-window-0,10,14,145,0.7,4,False,False
L036,late-window-0,3,23,156,0.85,1,False,False
L037,late-window-0,8,32,167,1.0,2,False,False
L038,late-window-0,13,13,178,1.15,3,False,False
L039,late-window-0,6,22,189,1.3,4,False,False
L040,late-window-0,11,31,200,0.7,1,False,False
