id,burst,cpu,mem,deadline,latency_sensitivity,priority,gpu_required,active
J001,,3,21,96,0.85,3,False,True
J002,,8,10,107,1.0,4,False,True
J003,,4,17,118,1.15,1,False,True
J004,,9,6,129,1.3,2,False,True
J005,,5,13,140,0.7,3,False,True
J006,,10,20,151,0.85,4,False,True
J007,,6,9,162,1.0,1,False,True
J008,,2,16,173,1.15,2,False,True
J009,,7,5,184,1.3,3,False,True
J010,,3,12,75,0.7,4,False,True
J011,,8,19,86,0.85,1,True,True
J012,,4,8,97,1.0,2,False,True
J013,,9,15,108,1.15,3,False,True
J014,,5,4,119,1.3,4,False,True
J015,,10,11,130,0.7,1,False,True
J016,,6,18,141,0.85,2,False,True
J017,,2,7,152,1.0,3,False,True
J018,,7,14,163,1.15,4,False,True
J019,,3,21,174,1.3,1,False,True
J020,,8,10,185,0.7,2,False,True
J021,,4,17,76,0.85,3,False,True
J022,,9,6,87,1.0,4,True,True
J023,,5,13,98,1.15,1,False,True
J024,,10,20,109,1.3,2,False,True
B25_01,failover-5,4,8,74,1.7,4,False,False
B25_02,failover-5,5,11,78,1.7,4,False,False
B25_03,failover-5,2,14,82,1.7,4,False,False
B25_04,failover-5,3,7,86,1.7,4,False,False
B25_05,failover-5,4,10,90,1.7,4,False,False
B25_06,failover-5,5,13,94,1.7,4,False,False
L001,late-window-5,13,31,96,0.85,3,False,False
L002,late-window-5,6,12,107,1.0,4,False,False
L003,late-window-5,11,21,118,1.15,1,False,False
L004,late-window-5,4,30,129,1.3,2,False,False
L005,late-window-5,9,11,140,0.7,3,False,False
L006,late-window-5,14,20,151,0.85,4,False,False
L007,late-window-5,7,29,162,1.0,1,False,False
L008,late-window-5,12,10,173,1.15,2,False,False
L009,late-window-5,5,19,184,1.3,3,False,False
L010,late-window-5,10,28,195,0.7,4,False,False
L011,late-window-5,3,9,206,0.85,1,False,False
L012,late-window-5,8,18,217,1.0,2,False,False
L013,late-window-5,13,27,228,1.15,3,False,False
L014,late-window-5,6,8,239,1.3,4,False,False
L015,late-window-5,11,17,90,0.7,1,False,False
L016,late-window-5,4,26,101,0.85,2,False,False
L017,late-window-5,9,7,112,1.0,3,False,False
L018,late-window-5,14,16,123,1.15,4,False,False
L019,late-window-5,7,25,134,1.3,1,False,False
L020,late-window-5,12,34,145,0.7,2,False,False
L021,late-window-5,5,15,156,0.85,3,False,False
L022,late-window-5,10,24,167,1.0,4,False,False
L023,late-window-5,3,33,178,1.15,1,False,False
L024,late-window-5,8,14,189,1.3,2,False,False
L025,late-window-5,13,23,200,0.7,3,False,False
L026,late-window-5,6,32,211,0.85,4,False,False
L027,late-window-5,11,13,222,1.0,1,False,False
L028,late-window-5,4,22,233,1.15,2,False,False
L029,late-window-5,9,31,84,1.3,3,False,False
L030,late-window-5,14,12,95,0.7,4,False,False
L031,late-window-5,7,21,106,0.85,1,False,False
L032,late-window-5,12,30,117,1.0,2,False,False
L033,late-window-5,5,11,128,1.15,3,False,False
L034,late-window-5,10,20,139,1.3,4,False,False
L035,late-window-5,3,29,150,0.7,1,False,False
L036,late-window-5,8,10,161,0.85,2,False,False
L037,late-window-5,13,19,172,1.0,3,False,False
L038,late-window-5,6,28,183,1.15,4,False,False
L039,late-window-5,11,9,194,1.3,1,False,False
L040,late-window-5,4,18,205,0.7,2,False,False
