id,burst,cpu,mem,deadline,latency_sensitivity,priority,gpu_required,active
J001,,10,17,90,1.3,1,False,True
J002,,6,6,101,0.7,2,False,True
J003,,2,13,112,0.85,3,False,True
J004,,7,20,123,1.0,4,False,True
J005,,3,9,134,1.15,1,False,True
J006,,8,16,145,1.3,2,False,True
J007,,4,5,156,0.7,3,False,True
J008,,9,12,167,0.85,4,False,True
J009,,5,19,178,1.0,1,False,True
J010,,10,8,189,1.15,2,False,True
J011,,6,15,80,1.3,3,True,True
J012,,2,4,91,0.7,4,False,True
J013,,7,11,102,0.85,1,False,True
J014,,3,18,113,1.0,2,False,True
J015,,8,7,124,1.15,3,False,True
J016,,4,14,135,1.3,4,False,True
J017,,9,21,146,0.7,1,False,True
J018,,5,10,157,0.85,2,False,True
J019,,10,17,168,1.0,3,False,True
J020,,6,6,179,1.15,4,False,True
J021,,2,13,70,1.3,1,False,True
J022,,7,20,81,0.7,2,True,True
J023,,3,9,92,0.85,3,False,True
J024,,8,16,103,1.0,4,False,True
B23_01,failover-3,2,14,72,1.7,4,False,False
B23_02,failover-3,3,7,76,1.7,4,False,False
B23_03,failover-3,4,10,80,1.7,4,False,False
B23_04,failover-3,5,13,84,1.7,4,False,False
B23_05,failover-3,2,6,88,1.7,4,False,False
B23_06,failover-3,3,9,92,1.7,4,False,False
L001,late-window-3,11,25,94,1.3,1,False,False
L002,late-window-3,4,34,105,0.7,2,False,False
L003,late-window-3,9,15,116,0.85,3,False,False
L004,late-window-3,14,24,127,1.0,4,False,False
L005,late-window-3,7,33,138,1.15,1,False,False
L006,late-window-3,12,14,149,1.3,2,False,False
L007,late-window-3,5,23,160,0.7,3,False,False
L008,late-window-3,10,32,171,0.85,4,False,False
L009,late-window-3,3,13,182,1.0,1,False,False
L010,late-window-3,8,22,193,1.15,2,False,False
L011,late-window-3,13,31,204,1.3,3,False,False
L012,late-window-3,6,12,215,0.7,4,False,False
L013,late-window-3,11,21,226,0.85,1,False,False
L014,late-window-3,4,30,237,1.0,2,False,False
L015,late-window-3,9,11,88,1.15,3,False,False
L016,late-window-3,14,20,99,1.3,4,False,False
L017,late-window-3,7,29,110,0.7,1,False,False
L018,late-window-3,12,10,121,0.85,2,False,False
L019,late-window-3,5,19,132,1.0,3,False,False
L020,late-window-3,10,28,143,1.15,4,False,False
L021,late-window-3,3,9,154,1.3,1,False,False
L022,late-window-3,8,18,165,0.7,2,False,False
L023,late-window-3,13,27,176,0.85,3,False,False
L024,late-window-3,6,8,187,1.0,4,False,False
L025,late-window-3,11,17,198,1.15,1,False,False
L026,late-window-3,4,26,209,1.3,2,False,False
L027,late-window-3,9,7,220,0.7,3,False,False
L028,late-window-3,14,16,231,0.85,4,False,False
L029,late-window-3,7,25,82,1.0,1,False,False
L030,late-window-3,12,34,93,1.15,2,False,False
L031,late-window-3,5,15,104,1.3,3,False,False
L032,late-window-3,10,24,115,0.7,4,False,False
L033,late-window-3,3,33,126,0.85,1,False,False
L034,late-window-3,8,14,137,1.0,2,False,False
L035,late-window-3,13,23,148,1.15,3,False,False
L036,late-window-3,6,32,159,1.3,4,False,False
L037,late-window-3,11,13,170,0.7,1,False,False
L038,late-window-3,4,22,181,0.85,2,False,False
L039,late-window-3,9,31,192,1.0,3,False,False
L040,late-window-3,14,12,203,1.15,4,False,False
